2,SYNONYMS,,AT,LEAST,28,WORDS,,DATE,>,1700
LOANWORDS,EXCLUDED

LDND,BAODI,LI_BA,LI_TO,BAHA_,BUYAN,CA_HA,CUN{T,ECUN_,GELAO,GELAO,GELAO,GREEN,HONGF,JINCH,JINXI,JUDU_,LACHI,LAHA{,LAKKJ,LANGJ,MULAO,NA_KH,NIUPO,PAHA{,PHO_B,PUBIA,TA_MI,WHITE,YERON,ZHENF,BLACK,DEHON,DEHON,DONGM,DONGY,FANGC,FUSUI,GUIGA,HAWYI,JINGH,JINGH,JINPI,KAM{T,KAM_Z,KHORA,LAIBI,LALIU,LALIU,LAMPA,LAO{T,LAOTI,LIANS,LINCH,LONGA,LONGZ,LU{TK,LUE_C,LUE_M,LUNG_,LUNG_,LUOCH,LVCHU,MAGUA,MAK{T,MANGS,MAONA,MENGL,MULAO,NINGM,NORTH,NUNG{,ONG_B,PO_AI,QINZH,SAEK{,SAEK_,SAEK_,SANDO,SHAN{,SHAN_,SHAN_,SHAN_,SHANG,SHANG,SHUIQ,SIAME,SIAME,SONGK,SOUTH,SUI{T,SUI_J,SUI_L,TAI_C,TAI_D,TAI_K,TAI_L,TAI_L,TAI_L,TAI_N,TAI_N,TAI_P,TAI_P,TAI_W,TAI_W,TAIYA,TAIYA,TAY{T,TEN{T,TEN_2,THAI{,THAI_,THAI_,TIANZ,WANGM,WHITE,WHITE,WHITE,WU_MI,WUDIN,WUMIN,WUMIN,XIANA,YANG{,YAY{T,YAY_2,YONGN,YUANJ,YUANY,ZHANG,ZHUAN,ZHUAN

BAODING_HLAI{TK.HLAI|Tai-K,.00
LI_BAODING{TK.HLAI|Tai-Kad,24.56,.00
LI_TONGSHI{TK.HLAI|Tai-Kad,40.76,24.07,.00
BAHA_BUYANG{TK.KADAI|Tai-K,93.12,90.20,93.65,.00
LU{TK.KAM-TAI|Tai-Kadai,Ka,81.83,83.01,85.49,97.65,93.52,94.35,84.99,96.01,91.84,95.80,91.02,91.12,99.71,95.88,91.64,96.80,96.88,85.05,95.59,90.69,98.59,98.91,99.62,94.06,96.89,89.61,94.24,98.55,96.50,95.57,48.33,64.63,49.89,91.87,76.31,85.45,64.11,67.41,69.76,39.41,44.25,46.66,73.44,85.64,59.15,66.16,84.69,86.76,60.63,44.31,48.33,72.43,78.53,68.86,65.26,.00
LUE_CHIENG_HUNG{TK.KAM-TAI,84.86,85.63,87.85,90.41,88.32,92.65,81.90,89.38,87.72,92.68,92.14,96.46,100.29,96.06,90.13,95.58,91.62,81.40,96.47,88.32,98.36,95.22,99.79,91.86,91.43,88.51,90.77,96.89,89.81,95.36,28.72,48.25,54.46,90.08,77.36,83.94,58.00,59.67,65.06,43.83,46.19,49.44,70.08,82.81,54.51,60.39,83.81,84.47,59.24,42.38,37.35,67.59,79.32,61.72,59.64,43.54,.00
LUE_MUONG_YONG{TK.KAM-TAI|,84.86,85.63,87.85,90.41,88.32,92.65,81.90,89.38,87.72,92.68,92.14,96.46,100.29,96.06,90.13,95.58,91.62,81.40,96.47,88.32,98.36,95.22,99.79,91.86,91.43,88.51,90.77,96.89,89.81,95.36,28.72,48.25,54.46,90.08,77.36,83.94,58.00,59.67,65.06,43.83,46.19,49.44,70.08,82.81,54.51,60.39,83.81,84.47,59.24,42.38,37.35,67.59,79.32,61.72,59.64,43.54,10.71,.00
LUNG_CHOW{TK.KAM-TAI|Tai-K,79.57,73.58,78.07,90.40,90.66,93.38,82.15,93.35,89.35,92.99,91.99,94.82,101.63,97.71,86.20,97.42,89.78,77.85,89.11,90.69,98.04,94.17,99.02,91.69,95.61,85.51,88.08,96.22,90.45,95.97,40.13,44.85,52.07,90.11,73.02,79.72,58.01,59.73,63.76,47.21,41.52,48.24,65.46,75.13,43.13,57.40,82.07,81.89,57.77,40.32,41.34,66.70,74.11,58.05,36.44,42.92,38.86,38.86,.00
LUNG_MING{TK.KAM-TAI|Tai-K,82.90,80.19,83.98,90.64,91.55,91.82,83.69,92.72,91.24,91.94,93.68,98.04,101.72,99.18,84.30,97.41,91.32,80.23,87.58,91.50,98.17,94.57,98.59,92.93,95.71,88.60,86.24,98.76,93.36,92.50,50.97,55.19,57.52,90.66,76.26,77.13,45.24,60.58,62.12,55.40,51.96,54.21,63.63,75.22,55.99,59.03,81.34,79.67,65.59,47.40,45.99,63.26,79.33,47.09,52.88,48.55,46.24,46.24,27.93,.00
LUOCHENG_MULAO{TK.KAM-TAI|,88.49,84.50,88.00,87.88,90.28,94.29,95.91,87.01,96.25,95.74,98.04,100.24,92.24,99.77,79.18,97.69,98.82,72.08,81.45,86.84,102.24,95.45,99.21,84.52,92.70,91.46,92.56,100.01,87.80,97.51,92.71,86.38,89.34,19.83,89.72,63.29,81.82,81.43,81.45,84.82,84.61,84.88,77.85,59.87,85.11,79.12,65.35,61.82,82.81,90.98,92.38,80.80,92.55,81.01,84.46,90.99,89.59,89.59,84.86,82.46,.00
LVCHUN_TAI{TK.KAM-TAI|Tai-,86.36,88.18,87.69,93.31,90.59,91.40,87.38,91.98,87.67,90.47,88.84,95.64,98.50,92.32,86.53,94.29,92.32,83.17,89.64,89.67,94.93,97.48,95.66,92.28,95.15,83.79,91.55,96.61,91.93,93.48,66.32,57.83,55.64,95.92,81.27,84.20,73.78,72.85,79.74,58.83,51.37,55.61,85.21,83.20,68.03,71.58,90.96,86.64,72.03,67.81,64.65,76.12,85.34,74.44,70.17,65.21,64.05,64.05,65.34,69.98,91.23,.00
MAGUAN_TAI{TK.KAM-TAI|Tai-,84.35,80.44,80.65,87.47,88.70,93.35,86.20,91.19,87.72,90.03,92.53,97.87,99.43,98.89,82.56,96.91,92.99,75.56,88.64,85.76,96.73,95.06,100.73,86.30,93.86,84.93,84.72,96.94,89.70,93.43,46.64,42.89,36.19,90.28,76.07,77.91,52.92,51.03,62.27,39.57,31.65,36.08,75.93,75.56,51.83,51.05,83.32,81.36,56.94,50.20,45.99,62.45,75.63,54.41,51.61,53.89,44.09,44.09,42.18,51.48,85.89,48.02,.00
MAK{TK.KAM-TAI|Tai-Kadai,K,89.17,86.88,90.95,87.21,93.02,93.31,92.07,92.32,87.78,91.45,94.65,99.82,97.01,99.02,84.80,93.78,92.58,74.04,84.95,87.12,98.11,95.40,94.80,82.81,93.15,80.86,93.92,95.58,94.21,94.19,71.08,79.94,81.59,72.97,79.55,43.81,75.86,77.38,80.53,73.28,75.06,77.25,56.41,68.55,77.89,77.88,33.69,46.57,77.05,71.97,66.56,79.74,82.15,75.76,80.83,72.81,67.93,67.93,65.17,63.85,70.14,86.66,77.33,.00
MANGSHI_TAI{TK.KAM-TAI|Tai,85.41,85.27,84.82,90.41,90.46,94.69,88.22,90.30,91.72,91.11,91.55,95.13,100.81,96.78,88.09,99.40,93.37,77.91,92.53,88.04,94.58,96.51,102.12,85.63,96.63,83.75,87.27,102.99,92.71,95.36,56.86,44.99,18.68,90.36,79.26,82.60,60.78,63.47,69.09,38.78,33.19,41.67,79.32,78.73,53.43,62.80,87.10,84.31,59.14,56.25,55.61,63.07,80.20,66.48,57.38,48.25,57.79,57.79,53.06,57.36,90.16,54.33,36.95,81.30,.00
